取得日,コード,銘柄名,市場,現在値,前日比(%),PBR(株価純資産倍率)(倍),PER(株価収益率)(倍),ROE(自己資本利益率)(%),海外売上高比率(%),経常利益変化率(%) - 前年度比,自己資本比率(%),財務,配当利回り(%),EPS(予)(一株あたり当期利益)(円),PEG(予)(倍),業績予想修正率(予)(%),経常利益変化率(予)(%) - 1年前,過去3年平均売上高成長率(予)(%)
2026-08-20,1301,極洋,東P,"4,730",-20.0 (-0.42%) ,0.73,8.21,9.5,16.37,-7.61,36.12,(連),3.17,,,,,
2026-08-20,1305,ｉＦＴＯＰＩＸ（年１回決算型）,東ETF,"4,278",+52.0 (+1.23%) ,,,,,,,,,,,,,
2026-08-20,1306,ＮＦ　ＴＯＰＩＸ連動型上場投信,東ETF,422.8,+5.4 (+1.29%) ,,,,,,,,,,,,,
2026-08-20,1308,上場インデックスファンドＴＯＰ,東ETF,"4,176",+47.0 (+1.14%) ,,,,,,,,,,,,,
2026-08-20,1309,上海株指数・上証５０連動型上場,東ETF,"54,490",-320.0 (-0.58%) ,,,,,,,,,,,,,
2026-08-20,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ,東G,445,+30.0 (+7.23%) ,,,,,,,,,,,,,
2026-08-20,1311,ＮＦ　ＴＯＰＩＸ　Ｃｏｒｅ３０,東ETF,"2,100",-24.0 (-1.13%) ,,,,,,,,,,,,,
2026-08-20,1319,ＮＦ日経３００株価指数連動型,東ETF,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,131A,ＣＣＮグループ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1320,ｉＦ日経２２５（年１回決算型）,東ETF,"68,270",+820.0 (+1.22%) ,,,,,,,,,,,,,
2026-08-20,1321,ＮＦ日経２２５連動型上場投信,東ETF,"68,550",+870.0 (+1.29%) ,,,,,,,,,,,,,
2026-08-20,1322,中国Ａ株パンダＣＳＩ３００,東ETF,"11,625",-40.0 (-0.34%) ,,,,,,,,,,,,,
2026-08-20,1325,ＮＦボベスパ連動型上場投信,東ETF,272,+0.2 (+0.07%) ,,,,,,,,,,,,,
2026-08-20,1326,ＳＰＤＲゴールド・シェア,東ETF,"65,350","+1,910.0 (+3.01%) ",,,,,,,,,,,,,
2026-08-20,1328,ＮＦ金価格連動型上場投資信託,東ETF,"16,855",+525.0 (+3.21%) ,,,,,,,,,,,,,
2026-08-20,1329,ｉＳコア　日経２２５,東ETF,"6,855",+86.0 (+1.27%) ,,,,,,,,,,,,,
2026-08-20,132A,アイエヌＨＬＤＧ,東PRO,--,-- (--%) ,1.46,19.13,8.0,0.00,-47.53,13.06,(連),0.00,,,,,
2026-08-20,1330,上場インデックスファンド２２５,東ETF,"68,620",+890.0 (+1.31%) ,,,,,,,,,,,,,
2026-08-20,1332,ニッスイ,東P,"1,302",+17.0 (+1.32%) ,1.32,14.44,9.5,42.85,22.34,40.04,(連),2.46,97.64,1.61,0.77,9.31,6.35
2026-08-20,1333,Ｕｍｉｏｓ,東P,"1,301.5",+1.0 (+0.08%) ,0.8,8.87,9.3,27.37,-3.11,32.89,(連),3.43,,,,,
2026-08-20,133A,グローバルＸ　超短期米国債,東ETF,"1,073",-4.0 (-0.37%) ,,,,,,,,,,,,,
2026-08-20,1343,ＮＦ東証ＲＥＩＴ連動型投信,東ETF,"1,949",+21.0 (+1.09%) ,,,,,,,,,,,,,
2026-08-20,1345,上場Ｊリート隔月分配型,東ETF,"1,844",+5.0 (+0.27%) ,,,,,,,,,,,,,
2026-08-20,1346,ＭＡＸＩＳ　日経２２５上場投信,東ETF,"68,480",+800.0 (+1.18%) ,,,,,,,,,,,,,
2026-08-20,1348,ＭＡＸＩＳ　トピックス上場投信,東ETF,"4,210",+43.0 (+1.03%) ,,,,,,,,,,,,,
2026-08-20,1349,ＡＢＦ汎アジア債券,東ETF,"17,530",0.0 (0.00%) ,,,,,,,,,,,,,
2026-08-20,134A,アプライズ,東PRO,--,-- (--%) ,2.07,8.29,28.5,0.00,"1,200.00",48.64,(単),0.00,,,,,
2026-08-20,1356,ＴＯＰＩＸベア２倍上場投信,東ETF,107.1,-3.1 (-2.81%) ,,,,,,,,,,,,,
2026-08-20,1357,ＮＦ日経平均ダブルインバース,東ETF,"2,739",-73.0 (-2.60%) ,,,,,,,,,,,,,
2026-08-20,1358,上場日経レバレッジ指数,東ETF,"132,700","+2,500.0 (+1.92%) ",,,,,,,,,,,,,
2026-08-20,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,東G,"4,370",+185.0 (+4.42%) ,21.49,68.33,37.2,0.00,53.28,64.88,(単),0.00,,,,,
2026-08-20,1360,日経平均ベア２倍上場投信,東ETF,67.2,-1.8 (-2.61%) ,,,,,,,,,,,,,
2026-08-20,1364,ｉシェアーズ　ＪＰＸ日経４００,東ETF,"3,750",+29.0 (+0.78%) ,,,,,,,,,,,,,
2026-08-20,1365,ｉＦ日経平均レバレッジ,東ETF,"4,289",+102.0 (+2.44%) ,,,,,,,,,,,,,
2026-08-20,1366,ｉＦ日経平均ダブルインバース,東ETF,69,-1.0 (-1.43%) ,,,,,,,,,,,,,
2026-08-20,1367,ｉＦＴＰＸレバレッジ（２倍）,東ETF,"3,036",+62.0 (+2.08%) ,,,,,,,,,,,,,
2026-08-20,1368,ｉＦＴＰＸダブルインバース,東ETF,155,-5.0 (-3.13%) ,,,,,,,,,,,,,
2026-08-20,1369,ＤＩＡＭ　ＥＴＦ　日経２２５,東ETF,"66,470",+770.0 (+1.17%) ,,,,,,,,,,,,,
2026-08-20,1375,ユキグニファクトリー,東P,"1,170",+11.0 (+0.95%) ,3.16,15.77,21.8,0.00,92.87,39.19,(連),1.97,,,,,
2026-08-20,1376,カネコ種苗,東S,"1,636",+4.0 (+0.25%) ,,,,,,,,,,,,,
2026-08-20,1377,サカタのタネ,東P,"4,500",+45.0 (+1.01%) ,,,,,,,,,241.80,-1.24,0.00,5.11,5.96
2026-08-20,1379,ホクト,東P,"2,109",+58.0 (+2.83%) ,,,,,,,,,,,,,
2026-08-20,137A,Ｃｏｃｏｌｉｖｅ,東G,710,+9.0 (+1.28%) ,,,,,,,,,,,,,
2026-08-20,1380,秋川牧園,東S,997,+1.0 (+0.10%) ,,,,,,,,,,,,,
2026-08-20,1381,アクシーズ,東S,"3,415",+15.0 (+0.44%) ,,,,,,,,,,,,,
2026-08-20,1382,ホーブ,東S,885,+17.0 (+1.96%) ,,,,,,,,,,,,,
2026-08-20,1383,ベルグアース,東S,"3,010",+18.0 (+0.60%) ,2.28,99.60,2.3,0.00,-75.00,34.91,(連),0.33,,,,,
2026-08-20,1384,ホクリヨウ,東S,"2,250",+11.0 (+0.49%) ,1.09,4.93,24.4,0.00,152.17,74.86,(単),5.78,,,,,
2026-08-20,138A,光フードサービス,東G,"3,145",+75.0 (+2.44%) ,2.38,30.45,8.0,0.00,15.71,49.39,(単),1.27,,,,,
2026-08-20,1397,ＳＭＤＡＭ日経２２５,東ETF,"66,950",+800.0 (+1.21%) ,,,,,,,,,,,,,
2026-08-20,1398,ＳＭＤＡＭ東証ＲＥＩＴ指数,東ETF,"1,872.5",+20.0 (+1.08%) ,,,,,,,,,,,,,
2026-08-20,1399,上場ＭＳＣＩ日本株高配当低ボラ,東ETF,"3,195",+38.0 (+1.20%) ,,,,,,,,,,,,,
2026-08-20,139A,東日本地所,東PRO,--,-- (--%) ,1.52,6.72,25.3,0.00,3.26,40.67,(連),1.19,,,,,
2026-08-20,1401,エムビーエス,東G,"1,282",0.0 (0.00%) ,,,,,,,,,,,,,
2026-08-20,1407,ウエストＨＬＤＧ,東S,"2,722",+123.0 (+4.73%) ,2.98,20.15,15.4,0.00,-20.04,24.39,(連),2.39,192.80,0.33,12.56,-8.21,5.70
2026-08-20,140A,ｉＦ米国１０年国債先物インバ,東ETF,"2,012",-3.0 (-0.15%) ,,,,,,,,,,,,,
2026-08-20,1414,ショーボンドＨＬＤＧ,東P,"1,257.5",-7.0 (-0.55%) ,,,,,,,,,76.46,33.28,-2.54,-5.57,0.21
2026-08-20,1417,ミライト・ワン,東P,"3,519",+76.0 (+2.21%) ,1.12,13.44,8.6,0.00,32.93,48.73,(連),2.42,291.32,1.07,1.90,14.93,5.08
2026-08-20,1418,インターライフＨＬＤＧ,東S,600,+4.0 (+0.67%) ,1.96,11.20,18.6,0.00,32.11,50.45,(連),5.00,,,,,
2026-08-20,1419,タマホーム,東P,"3,000",+50.0 (+1.69%) ,2.54,58.84,4.1,0.00,-70.58,37.1,(連),6.50,41.90,-4.02,7.59,-67.05,-10.66
2026-08-20,141A,トライアルＨＬＤＧ,東G,"4,005",+215.0 (+5.67%) ,,,,,,,,,87.31,0.23,0.53,18.29,33.97
2026-08-20,1420,サンヨーホームズ,東S,630,0.0 (0.00%) ,0.45,5.14,8.7,0.00,69.84,35.58,(連),3.97,,,,,
2026-08-20,1429,日本アクア,東P,789,+3.0 (+0.38%) ,,,,,,,,,,,,,
2026-08-20,142A,ジンジブ,東G,821,+17.0 (+2.11%) ,4.13,13.07,31.8,0.00,184.48,24.93,(単),0.00,,,,,
2026-08-20,1430,ファーストコーポレーション,東S,"1,032",+10.0 (+0.98%) ,,,,,,,,,,,,,
2026-08-20,1431,Ｌｉｂ　Ｗｏｒｋ,東G,647,+1.0 (+0.15%) ,3.19,30.53,10.7,0.00,42.81,40.91,(連),0.99,,,,,
2026-08-20,1432,動力,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1433,ベステラ,東P,"1,200",+9.0 (+0.76%) ,1.97,14.75,14.3,0.00,28.89,64.76,(連),3.33,,,,,
2026-08-20,1434,ＪＥＳＣＯ　ＨＬＤＧ,東S,"1,690",+31.0 (+1.87%) ,,,,,,,,,,,,,
2026-08-20,1435,ｒｏｂｏｔ　ｈｏｍｅ,東S,187,+6.0 (+3.31%) ,1.51,8.45,19.4,0.00,75.54,70.1,(連),1.07,,,,,
2026-08-20,1436,グリーンエナジー＆カンパニー,東G,"1,547",+57.0 (+3.83%) ,3.37,38.22,9.1,0.00,152.21,34.35,(連),0.32,,,,,
2026-08-20,1438,岐阜造園,東S,"2,346",+46.0 (+2.00%) ,1.84,19.78,9.7,0.00,20.66,71.72,(連),1.53,,,,,
2026-08-20,143A,イシン,東G,699,0.0 (0.00%) ,,,,,,,,,,,,,
2026-08-20,1443,技研ＨＬＤＧ,東S,275,-2.0 (-0.72%) ,0.35,7.28,5.1,0.00,15.84,70.7,(連),0.40,,,,,
2026-08-20,1444,ニッソウ,東G,"2,655",0.0 (0.00%) ,1.69,14.24,12.6,0.00,9.52,49.26,(連),0.00,,,,,
2026-08-20,1445,ひかりＨＬＤＧ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1446,キャンディル,東S,543,+2.0 (+0.37%) ,1.7,25.58,6.8,0.00,19.14,47.13,(連),1.47,,,,,
2026-08-20,1447,ＳＡＡＦＨＬＤＧ,東G,396,0.0 (0.00%) ,,,,,,,,,,,,,
2026-08-20,144A,エネルギーパワー,東PRO,--,-- (--%) ,4.34,6.72,96.2,0.00,686.32,11.99,(単),0.00,,,,,
2026-08-20,1450,ＴＡＮＡＫＥＮ,東S,"1,459",+11.0 (+0.76%) ,1.36,8.45,17.1,0.00,-5.55,76.57,(単),3.77,,,,,
2026-08-20,1452,横浜ライト工業,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1456,ｉＦ日経平均インバース,東ETF,"1,257",-19.0 (-1.49%) ,,,,,,,,,,,,,
2026-08-20,1457,ｉＦＴＯＰＩＸインバース,東ETF,"1,778",-18.0 (-1.00%) ,,,,,,,,,,,,,
2026-08-20,1458,楽天ＥＴＦ日経レバレッジ指数,東ETF,"82,950","+2,050.0 (+2.53%) ",,,,,,,,,,,,,
2026-08-20,1459,楽天ＥＴＦ日経ダブルインバース,東ETF,110,-3.0 (-2.65%) ,,,,,,,,,,,,,
2026-08-20,145A,Ｌ　ｉｓ　Ｂ,東G,906,+32.0 (+3.66%) ,2.51,33.44,7.8,0.00,716.67,53.91,(連),0.00,,,,,
2026-08-20,1466,ｉＦＪＰＸ４００ダブルインバ,東ETF,201,-5.0 (-2.43%) ,,,,,,,,,,,,,
2026-08-20,1469,ＪＰＸ日経４００ベア２倍,東ETF,186.7,-5.5 (-2.86%) ,,,,,,,,,,,,,
2026-08-20,146A,コロンビア・ワークス,東S,"3,830",+125.0 (+3.37%) ,1.69,7.71,23.5,0.00,45.58,26.07,(連),2.04,,,,,
2026-08-20,1472,ＮＦ　ＪＰＸ４００ダブルインバ,東ETF,78,-1.0 (-1.27%) ,,,,,,,,,,,,,
2026-08-20,1473,ＤＩＡＭ　ＥＴＦ　トピックス,東ETF,"4,150",+56.0 (+1.37%) ,,,,,,,,,,,,,
2026-08-20,1474,ＤＩＡＭ　ＪＰＸ日経４００,東ETF,"37,010",+300.0 (+0.82%) ,,,,,,,,,,,,,
2026-08-20,1475,ｉＳコア　ＴＯＰＩＸ,東ETF,417,+4.7 (+1.14%) ,,,,,,,,,,,,,
2026-08-20,1476,ｉＳコア　Ｊリート,東ETF,"1,862",+12.0 (+0.65%) ,,,,,,,,,,,,,
2026-08-20,1477,ｉシェアーズＭＳＣＩ最小分散,東ETF,"3,334",+30.0 (+0.91%) ,,,,,,,,,,,,,
2026-08-20,1478,ｉシェアーズＭＳＣＩ高配当,東ETF,"5,259",+95.0 (+1.84%) ,,,,,,,,,,,,,
2026-08-20,1479,ｉＦＭＳＣＩ日本株人材設備,東ETF,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,147A,ソラコム,東G,"1,060",+35.0 (+3.41%) ,4.26,76.04,6.0,39.99,38.45,71.14,(連),0.00,,,,,
2026-08-20,1480,ＮＦ野村企業価値分配指数連動型,東ETF,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1481,上場日本経済貢献株,東ETF,"3,865",+60.0 (+1.58%) ,,,,,,,,,,,,,
2026-08-20,1482,ｉＳ米国債７―１０年円ヘッジ,東ETF,"1,545",+3.0 (+0.19%) ,,,,,,,,,,,,,
2026-08-20,1483,ｉＳ　ＪＰＸ／Ｓ＆Ｐ設備・人材,東ETF,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1484,Ｏｎｅ設備人材投資,東ETF,"3,822",+57.0 (+1.51%) ,,,,,,,,,,,,,
2026-08-20,1485,ＭＸＳ積極投資企業２００上場,東ETF,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1486,上場米国債券（為替ヘッジなし）,東ETF,"23,665",-35.0 (-0.15%) ,,,,,,,,,,,,,
2026-08-20,1487,上場米国債券（為替ヘッジあり）,東ETF,"11,815",+25.0 (+0.21%) ,,,,,,,,,,,,,
2026-08-20,1488,ＩＦ上場投信―東証ＲＥＩＴ,東ETF,"1,886",+17.0 (+0.91%) ,,,,,,,,,,,,,
2026-08-20,1489,ＮＦ日経平均高配当株５０指数,東ETF,"3,509",+48.0 (+1.39%) ,,,,,,,,,,,,,
2026-08-20,148A,ハッチ・ワーク,東G,"1,735",+50.0 (+2.97%) ,,,,,,,,,,,,,
2026-08-20,1490,上場ＭＳＣＩベータヘッジ,東ETF,"7,731",0.0 (0.00%) ,,,,,,,,,,,,,
2026-08-20,1491,中外鉱業,東S,707,+20.0 (+2.91%) ,1.08,6.72,17.3,0.00,84.89,53.32,(連),4.81,,,,,
2026-08-20,1493,Ｏｎｅ　ＪＰＸ日経中小型,東ETF,"25,730",+400.0 (+1.58%) ,,,,,,,,,,,,,
2026-08-20,1494,Ｏｎｅ高配当日本株,東ETF,"43,700",+480.0 (+1.11%) ,,,,,,,,,,,,,
2026-08-20,1495,上場アジアリート,東ETF,"11,470",-25.0 (-0.22%) ,,,,,,,,,,,,,
2026-08-20,1496,ｉＳ米ドルＩＧ社債ヘッジ,東ETF,"1,635",+7.0 (+0.43%) ,,,,,,,,,,,,,
2026-08-20,1497,ｉＳ米ドルＨＹ社債ヘッジ,東ETF,"1,735",+1.0 (+0.06%) ,,,,,,,,,,,,,
2026-08-20,1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,東ETF,"32,340",+490.0 (+1.54%) ,,,,,,,,,,,,,
2026-08-20,1499,ＭＸＳ日本株高配当７０ＭＮ,東ETF,"9,071",+21.0 (+0.23%) ,,,,,,,,,,,,,
2026-08-20,149A,シンカ,東G,770,+1.0 (+0.13%) ,2.36,57.12,4.2,0.00,29.17,81.82,(単),0.00,,,,,
2026-08-20,150A,ＪＳＨ,東G,801,+77.0 (+10.64%) ,,,,,,,,,,,,,
2026-08-20,1514,住石ＨＬＤＧ,東S,677,+39.0 (+6.11%) ,,,,,,,,,,,,,
2026-08-20,1515,日鉄鉱業,東P,"3,520",+195.0 (+5.86%) ,1.76,19.73,9.4,26.24,76.80,50.68,(連),2.03,,,,,
2026-08-20,1518,三井松島ＨＬＤＧ,東P,"2,241",-7.0 (-0.31%) ,1.54,15.11,11.1,23.93,17.71,43.5,(連),2.86,,,,,
2026-08-20,151A,ダイブグループ,東G,634,+4.0 (+0.63%) ,,,,,,,,,,,,,
2026-08-20,152A,オプティ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,153A,カウリス,東G,"1,347",+59.0 (+4.58%) ,5.31,31.40,18.6,0.00,5.41,75.89,(単),0.36,,,,,
2026-08-20,1540,純金上場信託,東ETF,"21,460",+705.0 (+3.40%) ,,,,,,,,,,,,,
2026-08-20,1541,純プラチナ上場信託,東ETF,"8,340",+369.0 (+4.63%) ,,,,,,,,,,,,,
2026-08-20,1542,純銀上場信託,東ETF,"31,100","+2,000.0 (+6.87%) ",,,,,,,,,,,,,
2026-08-20,1543,純パラジウム上場信託,東ETF,"60,670","+1,520.0 (+2.57%) ",,,,,,,,,,,,,
2026-08-20,1545,ＮＦ　ＮＡＳＤＡＱ―１００ヘな,東ETF,237,+1.2 (+0.51%) ,,,,,,,,,,,,,
2026-08-20,1546,ＮＦダウ・ジョーンズ工業株３０,東ETF,"82,350",-100.0 (-0.12%) ,,,,,,,,,,,,,
2026-08-20,1547,上場米国株式Ｓ＆Ｐ５００,東ETF,"13,290",-5.0 (-0.04%) ,,,,,,,,,,,,,
2026-08-20,154A,ＧＡＩＡ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1550,ＭＸＳ外株（ＭＳＣＩコクサイ）,東ETF,"8,178",-7.0 (-0.09%) ,,,,,,,,,,,,,
2026-08-20,1551,東証スタンダードＴＯＰ２０,東ETF,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1553,ＭＡＸＩＳ　Ｓ＆Ｐ東海上場投信,名ETF,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1554,上場ＭＳＣＩ世界株式除く日本,東ETF,"6,894",+20.0 (+0.29%) ,,,,,,,,,,,,,
2026-08-20,1555,上場豪州リート,東ETF,"2,478",+16.0 (+0.65%) ,,,,,,,,,,,,,
2026-08-20,1557,ＳＳ　Ｓ＆Ｐ　５００　ＥＴＦ,東ETF,"122,200",+100.0 (+0.08%) ,,,,,,,,,,,,,
2026-08-20,1559,ＮＦタイ株式ＳＥＴ５０指数,東ETF,"4,819",-25.0 (-0.52%) ,,,,,,,,,,,,,
2026-08-20,155A,情報戦略テクノロジー,東G,817,+33.0 (+4.21%) ,4.81,27.64,17.4,0.00,34.34,42.7,(連),0.00,,,,,
2026-08-20,1560,ＮＦ　ＦＴＳＥブルサＫＬＣＩ,東ETF,"6,499",+59.0 (+0.92%) ,,,,,,,,,,,,,
2026-08-20,1563,東証グロース・コアＥＴＦ,東ETF,"2,503",+83.0 (+3.43%) ,,,,,,,,,,,,,
2026-08-20,1566,上場新興国債券,東ETF,"54,020",+260.0 (+0.48%) ,,,,,,,,,,,,,
2026-08-20,1568,ＴＯＰＩＸブル２倍上場投信,東ETF,984.7,+21.9 (+2.27%) ,,,,,,,,,,,,,
2026-08-20,1569,ＴＯＰＩＸベア上場投信,東ETF,743,-8.0 (-1.07%) ,,,,,,,,,,,,,
2026-08-20,156A,マテリアルグループ,東G,854,+24.0 (+2.89%) ,3.81,17.67,22.4,0.00,-1.31,55.36,(連),3.04,,,,,
2026-08-20,1570,ＮＦ日経レバ連動型上場投信,東ETF,"69,510","+1,770.0 (+2.61%) ",,,,,,,,,,,,,
2026-08-20,1571,ＮＦ日経インバ連動型上場投信,東ETF,295,-4.0 (-1.34%) ,,,,,,,,,,,,,
2026-08-20,1572,中国Ｈ株ブル２倍上場投信,東ETF,"7,282",+152.0 (+2.13%) ,,,,,,,,,,,,,
2026-08-20,1573,中国Ｈ株ベア上場投信,東ETF,"8,137",-80.0 (-0.97%) ,,,,,,,,,,,,,
2026-08-20,1577,ＮＦ野村日本株高配当７０連動型,東ETF,"58,910",+140.0 (+0.24%) ,,,,,,,,,,,,,
2026-08-20,1578,上場日経２２５（ミニ）,東ETF,"5,282",+63.0 (+1.21%) ,,,,,,,,,,,,,
2026-08-20,1579,日経平均ブル２倍上場投信,東ETF,752,+18.9 (+2.58%) ,,,,,,,,,,,,,
2026-08-20,157A,グリーンモンスター,東G,740,-8.0 (-1.07%) ,,,,,,,,,,,,,
2026-08-20,1580,日経平均ベア上場投信,東ETF,784,-11.0 (-1.38%) ,,,,,,,,,,,,,
2026-08-20,1585,ｉＦＴＰＸ　Ｅｘ−Ｆｉｎ,東ETF,"2,647.5",+24.5 (+0.93%) ,,,,,,,,,,,,,
2026-08-20,1586,上場ＴＯＰＩＸ　Ｅｘ−Ｆｉｎ,東ETF,"3,080",+40.0 (+1.32%) ,,,,,,,,,,,,,
2026-08-20,158A,エクセリ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1591,ＮＦ　ＪＰＸ日経４００連動型,東ETF,"36,780",+320.0 (+0.88%) ,,,,,,,,,,,,,
2026-08-20,1592,上場ＪＰＸ日経４００,東ETF,"3,371",+38.0 (+1.14%) ,,,,,,,,,,,,,
2026-08-20,1593,ＭＡＸＩＳ　ＪＰＸ日経４００,東ETF,"37,630",+290.0 (+0.78%) ,,,,,,,,,,,,,
2026-08-20,1595,ＮＺＡＭ東証ＲＥＩＴ指数,東ETF,"1,854",+6.0 (+0.32%) ,,,,,,,,,,,,,
2026-08-20,1596,ＮＺＡＭ　ＴＯＰＩＸ　Ｅｘ−Ｆ,東ETF,"3,069",-1.0 (-0.03%) ,,,,,,,,,,,,,
2026-08-20,1597,ＭＡＸＩＳ　Ｊリート上場投信,東ETF,"1,877",+17.0 (+0.91%) ,,,,,,,,,,,,,
2026-08-20,1599,ｉＦ　ＪＰＸ日経４００,東ETF,"37,500",+580.0 (+1.57%) ,,,,,,,,,,,,,
2026-08-20,159A,ＮＦ　ＪＰＸプライム１５０,東ETF,727.5,+2.8 (+0.39%) ,,,,,,,,,,,,,
2026-08-20,1605,ＩＮＰＥＸ,東P,"3,869",+9.0 (+0.23%) ,0.95,11.70,8.2,68.88,-9.65,61.37,(連),2.58,392.10,0.53,1.26,33.89,-1.10
2026-08-20,160A,アズパートナーズ,東S,"2,027",+50.0 (+2.53%) ,1.41,6.13,25.4,0.00,19.70,21.21,(単),3.45,368.00,0.49,5.88,5.88,24.34
2026-08-20,1615,ＮＦ銀行業指数投信,東ETF,729.5,-3.7 (-0.50%) ,,,,,,,,,,,,,
2026-08-20,1617,ＮＦ食品ＴＰＸ１７,東ETF,"48,830",+390.0 (+0.81%) ,,,,,,,,,,,,,
2026-08-20,1618,ＮＦエネルギー資源ＴＰＸ１７,東ETF,"34,670",+310.0 (+0.90%) ,,,,,,,,,,,,,
2026-08-20,1619,ＮＦ建設・資材ＴＰＸ１７,東ETF,"45,100",+970.0 (+2.20%) ,,,,,,,,,,,,,
2026-08-20,161A,三葉,東PRO,--,-- (--%) ,7.87,58.84,14.2,0.00,-62.34,11.09,(連),0.00,,,,,
2026-08-20,1620,ＮＦ素材・化学ＴＰＸ１７,東ETF,"37,210",+660.0 (+1.81%) ,,,,,,,,,,,,,
2026-08-20,1621,ＮＦ医薬品ＴＰＸ１７,東ETF,"31,300",+790.0 (+2.59%) ,,,,,,,,,,,,,
2026-08-20,1622,ＮＦ自動車・輸送機ＴＰＸ１７,東ETF,"35,590","+1,690.0 (+4.99%) ",,,,,,,,,,,,,
2026-08-20,1623,ＮＦ鉄鋼・非鉄ＴＰＸ１７,東ETF,"65,400",+990.0 (+1.54%) ,,,,,,,,,,,,,
2026-08-20,1624,ＮＦ機械ＴＰＸ１７,東ETF,"86,870","+2,170.0 (+2.56%) ",,,,,,,,,,,,,
2026-08-20,1625,ＮＦ電機・精密ＴＰＸ１７,東ETF,"64,080",+370.0 (+0.58%) ,,,,,,,,,,,,,
2026-08-20,1626,ＮＦ情報通信サービスＴＰＸ１７,東ETF,"47,850","+1,220.0 (+2.62%) ",,,,,,,,,,,,,
2026-08-20,1627,ＮＦ電力・ガスＴＰＸ１７,東ETF,"11,805",+380.0 (+3.33%) ,,,,,,,,,,,,,
2026-08-20,1628,ＮＦ運輸・物流ＴＰＸ１７,東ETF,"21,760",+65.0 (+0.30%) ,,,,,,,,,,,,,
2026-08-20,1629,ＮＦ商社・卸売ＴＰＸ１７,東ETF,261.2,+2.3 (+0.89%) ,,,,,,,,,,,,,
2026-08-20,162A,ＡＩセレクトメガトレンドＥＴＮ,東ETF,"17,040",+120.0 (+0.71%) ,,,,,,,,,,,,,
2026-08-20,1630,ＮＦ小売ＴＰＸ１７,東ETF,"38,440",+660.0 (+1.75%) ,,,,,,,,,,,,,
2026-08-20,1631,ＮＦ銀行ＴＰＸ１７,東ETF,"39,400",-340.0 (-0.86%) ,,,,,,,,,,,,,
2026-08-20,1632,ＮＦ金融（除く銀行）ＴＰＸ１７,東ETF,"41,130",+220.0 (+0.54%) ,,,,,,,,,,,,,
2026-08-20,1633,ＮＦ不動産ＴＰＸ１７,東ETF,"49,150","+1,050.0 (+2.18%) ",,,,,,,,,,,,,
2026-08-20,163A,半導体フォーカス日本株ＥＴＮ,東ETF,"19,330",+145.0 (+0.76%) ,,,,,,,,,,,,,
2026-08-20,164A,アップルパーク,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1651,ｉＦ　ＴＯＰＩＸ高配当４０,東ETF,"3,213",+52.0 (+1.65%) ,,,,,,,,,,,,,
2026-08-20,1652,ｉＦ　ＭＳＣＩ日本株女性活躍,東ETF,"4,920",+2.0 (+0.04%) ,,,,,,,,,,,,,
2026-08-20,1653,ｉＦ　ＭＳＣＩＥＳＧセレクト,東ETF,"5,110",+61.0 (+1.21%) ,,,,,,,,,,,,,
2026-08-20,1654,ｉＦ　ＦＴＳＥＪＰＸブロッサム,東ETF,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,1655,ｉＳ　Ｓ＆Ｐ５００米国株,東ETF,880.9,+0.4 (+0.05%) ,,,,,,,,,,,,,
2026-08-20,1656,ｉＳコア米国債７―１０年,東ETF,310.1,-0.5 (-0.16%) ,,,,,,,,,,,,,
2026-08-20,1657,ｉＳコアＭＳＣＩ先進国株,東ETF,"7,355",+8.0 (+0.11%) ,,,,,,,,,,,,,
2026-08-20,1658,ｉＳコアＭＳＣＩ新興国株,東ETF,"4,315",+50.0 (+1.17%) ,,,,,,,,,,,,,
2026-08-20,1659,ｉＳ米国リート,東ETF,"3,932",-5.0 (-0.13%) ,,,,,,,,,,,,,
2026-08-20,1660,ＭＸＳ高利回りＪリート,東ETF,"10,555",+25.0 (+0.24%) ,,,,,,,,,,,,,
2026-08-20,1662,石油資源開発,東P,"1,844",+10.0 (+0.55%) ,0.75,8.83,9.2,27.09,-4.15,72.76,(連),3.52,286.65,0.17,-8.03,104.91,-0.18
