取得日,コード,銘柄名,市場,現在値,前日比(%),PBR(株価純資産倍率)(倍),PER(株価収益率)(倍),ROE(自己資本利益率)(%),海外売上高比率(%),経常利益変化率(%) - 前年度比,自己資本比率(%),財務,配当利回り(%),EPS(予)(一株あたり当期利益)(円),PEG(予)(倍),業績予想修正率(予)(%),経常利益変化率(予)(%) - 1年前,過去3年平均売上高成長率(予)(%)
2026-08-20,4272,日本化薬,東P,"2,078.5",+27.0 (+1.32%) ,1.11,12.90,9.0,56.02,14.43,69.97,(連),3.18,161.60,49.36,2.58,12.30,8.30
2026-08-20,4274,細谷火工,東S,"1,107",+44.0 (+4.14%) ,,,,,,,,,,,,,
2026-08-20,4275,カーリット,東P,"2,100",+99.0 (+4.95%) ,1.18,16.09,7.7,0.00,13.10,69.0,(連),2.00,136.77,3.20,-3.41,-5.46,1.13
2026-08-20,4284,ソルクシーズ,東S,444,+14.0 (+3.26%) ,,,,,,,,,,,,,
2026-08-20,4286,ＣＬＨＬＤＧ,東S,"1,344",+158.0 (+13.32%) ,1.84,23.12,8.3,0.00,368.56,31.78,(連),1.34,,,,,
2026-08-20,4287,ジャストプランニング,東S,490,-5.0 (-1.01%) ,1.46,11.17,13.6,0.00,24.44,90.65,(連),2.24,,,,,
2026-08-20,4288,アズジェント,東S,468,+16.0 (+3.54%) ,3.54,10.63,39.8,0.00,161.93,28.54,(単),0.00,,,,,
2026-08-20,428A,サイプレス・ＨＬＤＧ,東S,"1,434",-47.0 (-3.17%) ,,,,,,,,,,,,,
2026-08-20,4290,プレステージ・インターナショナ,東P,734,+9.0 (+1.24%) ,1.88,15.63,12.5,0.00,16.11,58.8,(連),3.54,48.55,4.49,-0.34,1.70,9.51
2026-08-20,4293,セプテーニＨＬＤＧ,東S,520,+12.0 (+2.36%) ,1.62,30.90,5.1,3.59,-3.06,69.07,(連),3.46,26.43,0.35,2.66,12.20,7.80
2026-08-20,4299,ハイマックス,東S,"1,222",-13.0 (-1.05%) ,1.17,12.03,10.1,0.00,-13.07,80.64,(連),3.76,,,,,
2026-08-20,429A,テクセンドフォトマスク,東P,"3,605",+35.0 (+0.98%) ,2.05,13.81,17.2,92.08,8.65,75.63,(連),1.55,,,,,
2026-08-20,4301,アミューズ,東P,"1,967",+71.0 (+3.74%) ,0.88,11.85,7.6,0.00,110.09,57.7,(連),2.03,,,,,
2026-08-20,4307,野村総合研究所,東P,"5,075",+215.0 (+4.42%) ,6.72,190.65,3.5,13.34,-56.13,45.21,(連),1.52,218.82,0.03,0.08,9.46,6.52
2026-08-20,4308,Ｊストリーム,東G,354,+2.0 (+0.57%) ,0.82,18.14,4.6,0.00,-8.94,81.48,(連),3.95,22.10,1.21,-4.00,-12.73,3.74
2026-08-20,430A,ネクストハンズ,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,4310,ドリームインキュベータ,東P,"2,534",+24.0 (+0.96%) ,1.91,13.97,13.0,0.00,530.30,74.0,(連),5.41,,,,,
2026-08-20,4316,ビーマップ,東G,82,+3.0 (+3.80%) ,,,,,,,,,,,,,
2026-08-20,4317,レイ,東S,556,-12.0 (-2.11%) ,0.94,5.64,17.9,0.00,81.81,71.26,(連),3.60,,,,,
2026-08-20,4318,クイック,東P,852,+27.0 (+3.27%) ,2.47,11.50,22.4,0.00,1.69,74.67,(連),4.42,,,,,
2026-08-20,431A,ユーソナー,東G,"2,160",+82.0 (+3.95%) ,,,,,,,,,,,,,
2026-08-20,4320,ＣＥ　ＨＬＤＧ,東S,"1,668",+16.0 (+0.97%) ,,,,,,,,,,,,,
2026-08-20,4323,日本システム技術,東P,"2,008",+128.0 (+6.81%) ,,,,,,,,,,,,,
2026-08-20,4324,電通グループ,東P,"3,582",+108.0 (+3.11%) ,,,,,,,,,320.39,-0.09,0.78,38.51,2.33
2026-08-20,4326,インテージＨＬＤＧ,東P,"1,918",-25.0 (-1.29%) ,,,,,,,,,,,,,
2026-08-20,432A,クリニファー,東PRO,--,-- (--%) ,,,,,,,,,,,,,
2026-08-20,4331,テイクアンドギヴ・ニーズ,東P,753,+8.0 (+1.07%) ,,,,,,,,,,,,,
2026-08-20,4334,ユークス,東S,382,0.0 (0.00%) ,1.22,18.20,7.1,0.00,12.88,63.02,(連),2.62,,,,,
2026-08-20,4335,ＩＰＳ　ＨＬＤＧ,東S,"1,095",-6.0 (-0.54%) ,,,,,,,,,,,,,
